Time,price
20-07-2023 01:00:00,3.7
21-07-2023 01:00:00,3.8
22-07-2023 01:00:00,3.7
23-07-2023 01:00:00,3.7
24-07-2023 01:00:00,3.9
25-07-2023 01:00:00,4.0
26-07-2023 01:00:00,3.9
27-07-2023 01:00:00,3.8
28-07-2023 01:00:00,3.6
29-07-2023 01:00:00,3.5
30-07-2023 01:00:00,3.5
31-07-2023 01:00:00,3.6
01-08-2023 01:00:00,3.7
02-08-2023 01:00:00,3.7
03-08-2023 01:00:00,3.9
04-08-2023 01:00:00,4.0
05-08-2023 01:00:00,3.9
06-08-2023 01:00:00,3.9
07-08-2023 01:00:00,3.9
08-08-2023 01:00:00,3.9
09-08-2023 01:00:00,4.3
10-08-2023 01:00:00,4.6
11-08-2023 01:00:00,4.3
12-08-2023 01:00:00,4.1
13-08-2023 01:00:00,4.1
14-08-2023 01:00:00,4.2
15-08-2023 01:00:00,4.4
16-08-2023 01:00:00,4.5
17-08-2023 01:00:00,4.4
18-08-2023 01:00:00,4.3
19-08-2023 01:00:00,4.4
20-08-2023 01:00:00,4.4
21-08-2023 01:00:00,4.6
22-08-2023 01:00:00,5.0
23-08-2023 01:00:00,5.0
24-08-2023 01:00:00,4.5
25-08-2023 01:00:00,4.4
26-08-2023 01:00:00,4.6
27-08-2023 01:00:00,4.6
28-08-2023 01:00:00,4.6
29-08-2023 01:00:00,4.5
30-08-2023 01:00:00,4.6
31-08-2023 01:00:00,4.5
01-09-2023 01:00:00,4.4
02-09-2023 01:00:00,4.3
03-09-2023 01:00:00,4.3
04-09-2023 01:00:00,4.3
05-09-2023 01:00:00,4.2
06-09-2023 01:00:00,4.2
07-09-2023 01:00:00,4.2
08-09-2023 01:00:00,4.3
09-09-2023 01:00:00,4.3
10-09-2023 01:00:00,4.3
11-09-2023 01:00:00,4.6
12-09-2023 01:00:00,4.7
13-09-2023 01:00:00,4.7
14-09-2023 01:00:00,4.7
15-09-2023 01:00:00,4.7
16-09-2023 01:00:00,4.7
17-09-2023 01:00:00,4.7
18-09-2023 01:00:00,4.6
19-09-2023 01:00:00,4.6
20-09-2023 01:00:00,4.8
21-09-2023 01:00:00,4.9
22-09-2023 01:00:00,5.1
23-09-2023 01:00:00,5.1
24-09-2023 01:00:00,5.1
25-09-2023 01:00:00,5.3
26-09-2023 01:00:00,5.2
27-09-2023 01:00:00,5.0
28-09-2023 01:00:00,4.9
29-09-2023 01:00:00,4.8
30-09-2023 01:00:00,4.8
01-10-2023 01:00:00,4.8
02-10-2023 01:00:00,4.3
03-10-2023 01:00:00,4.0
04-10-2023 01:00:00,4.1
05-10-2023 01:00:00,3.6
06-10-2023 01:00:00,4.2
07-10-2023 01:00:00,4.2
08-10-2023 01:00:00,4.1
09-10-2023 01:00:00,4.7
10-10-2023 01:00:00,5.3
11-10-2023 01:00:00,5.5
12-10-2023 01:00:00,5.6
13-10-2023 01:00:00,6.4
14-10-2023 01:00:00,6.4
15-10-2023 01:00:00,6.4
16-10-2023 01:00:00,5.2
17-10-2023 01:00:00,5.0
18-10-2023 01:00:00,5.4
19-10-2023 01:00:00,5.1
20-10-2023 01:00:00,5.2
21-10-2023 01:00:00,5.2
22-10-2023 01:00:00,5.1
23-10-2023 01:00:00,5.7
24-10-2023 01:00:00,5.7
25-10-2023 01:00:00,5.8
26-10-2023 01:00:00,5.7
27-10-2023 01:00:00,5.5
28-10-2023 01:00:00,5.5
29-10-2023 01:00:00,
30-10-2023 00:00:00,5.6
31-10-2023 00:00:00,5.8
01-11-2023 00:00:00,4.9
02-11-2023 00:00:00,4.5
03-11-2023 00:00:00,4.9
04-11-2023 00:00:00,4.9
05-11-2023 00:00:00,4.9
06-11-2023 00:00:00,4.9
07-11-2023 00:00:00,4.9
08-11-2023 00:00:00,5.2
09-11-2023 00:00:00,5.2
10-11-2023 00:00:00,5.1
11-11-2023 00:00:00,5.1
12-11-2023 00:00:00,5.1
13-11-2023 00:00:00,5.1
14-11-2023 00:00:00,4.7
15-11-2023 00:00:00,4.9
16-11-2023 00:00:00,5.2
17-11-2023 00:00:00,5.2
18-11-2023 00:00:00,5.2
19-11-2023 00:00:00,5.2
20-11-2023 00:00:00,5.2
21-11-2023 00:00:00,5.5
22-11-2023 00:00:00,5.4
23-11-2023 00:00:00,5.3
24-11-2023 00:00:00,5.7
25-11-2023 00:00:00,5.7
26-11-2023 00:00:00,5.7
27-11-2023 00:00:00,5.7
28-11-2023 00:00:00,5.5
29-11-2023 00:00:00,5.6
30-11-2023 00:00:00,5.3
01-12-2023 00:00:00,5.3
02-12-2023 00:00:00,5.4
03-12-2023 00:00:00,5.4
04-12-2023 00:00:00,5.4
05-12-2023 00:00:00,5.0
06-12-2023 00:00:00,4.9
07-12-2023 00:00:00,5.0
08-12-2023 00:00:00,5.0
09-12-2023 00:00:00,4.9
10-12-2023 00:00:00,4.9
11-12-2023 00:00:00,4.9
12-12-2023 00:00:00,4.7
13-12-2023 00:00:00,4.6
14-12-2023 00:00:00,4.5
15-12-2023 00:00:00,4.5
16-12-2023 00:00:00,4.2
17-12-2023 00:00:00,4.2
18-12-2023 00:00:00,4.2
19-12-2023 00:00:00,4.3
20-12-2023 00:00:00,4.1
21-12-2023 00:00:00,4.1
22-12-2023 00:00:00,4.2
23-12-2023 00:00:00,4.2
24-12-2023 00:00:00,4.2
25-12-2023 00:00:00,4.2
26-12-2023 00:00:00,4.2
27-12-2023 00:00:00,4.2
28-12-2023 00:00:00,4.4
29-12-2023 00:00:00,4.3
30-12-2023 00:00:00,4.3
31-12-2023 00:00:00,4.3
01-01-2024 00:00:00,4.3
