,year,case,rep,zones_controlled,onoffseed,tempseed,cost,cumulative_emissions,comfort_violation (%),mean_comfort_violation,std_comfort_violation,building_cost,sensing_cost,control_names,retrofit_name,installation_cost,name
221,2022,0,0,1,5,15,2463.2632583880036,5.206232137430267,0.8085996955859969,0.0008955321771972,0.0200895745435694,0.0,60,One Zone Controlled,Baseline,60.0,Baseline One Zone Controlled
222,2023,5,0,0,15,42,1700.8030704023718,1.1354710084448338,35.372907153729074,1.765049308422958,4.087546215057154,28000.0,0,Manual Control,System - ASHP,28000.0,System - ASHP Manual Control
223,2023,4,0,4,5,15,373.6265041209253,0.8898556943808064,15.490867579908675,0.3313421384565692,1.256976797270371,71000.0,240,Partial Control,Fabric - Passivhaus,71240.0,Fabric - Passivhaus Partial Control
224,2022,14,0,0,10,15,317.983214582898,0.15861659467653175,7.954718417047184,0.2191045536571082,1.2875205820173825,,0,Manual Control,,,
225,2023,14,0,0,10,15,231.18079745042726,0.1462932339719543,8.628234398782345,0.1873157617277367,0.9392040053020728,,0,Manual Control,,,
226,2022,5,0,0,10,15,3449.955883304638,1.7546665504922168,16.154870624048705,0.6913836400288361,2.39524559958904,28000.0,0,Manual Control,System - ASHP,28000.0,System - ASHP Manual Control
227,2023,5,0,0,15,15,2083.9687662290935,1.4016641404080217,18.234398782343987,0.8560690213060177,2.868065307277829,28000.0,0,Manual Control,System - ASHP,28000.0,System - ASHP Manual Control
228,2023,3,0,0,15,15,482.56469576233314,1.2681622757988358,4.813546423135464,0.0913467009398271,0.6499097790347355,51000.0,0,Manual Control,Fabric - Deep,51000.0,Fabric - Deep Manual Control
229,2022,5,0,4,15,42,2532.2478460440943,1.2936627220820502,30.302511415525117,1.179107574327647,2.85761603012159,28000.0,240,Partial Control,System - ASHP,28240.0,System - ASHP Partial Control
230,2023,1,0,4,15,15,1023.1293376993592,3.572336242053369,21.855022831050228,0.6328675687801713,1.9734989138500805,3800.0,240,Partial Control,Fabric - Low cost,4040.0,Fabric - Low cost Partial Control
231,2023,14,0,4,10,30,120.13639749940599,0.07771221324533915,27.19368340943684,0.8343952899885931,2.3230213426779804,,240,Partial Control,,,
232,2022,10,0,9,10,15,1645.1212636691998,0.815310919877461,12.201293759512938,0.0404786324133178,0.2422128096481471,48000.0,520,Full Control,System - ASHP+PV+Batt,48520.0,System - ASHP+PV+Batt Full Control
233,2022,5,0,4,15,30,2675.097713168757,1.3691345463211892,25.327245053272453,0.9569899718400317,2.5200539166351903,28000.0,240,Partial Control,System - ASHP,28240.0,System - ASHP Partial Control
234,2023,5,0,4,5,30,2148.919676169802,1.3781986126030916,4.973363774733638,0.0109787606216135,0.1094194807153609,28000.0,240,Partial Control,System - ASHP,28240.0,System - ASHP Partial Control
235,2023,2,0,4,10,30,760.1409651452501,2.6235019616614594,26.45738203957382,0.7013668912552118,1.948370408008292,16000.0,240,Partial Control,Fabric - Shallow,16240.0,Fabric - Shallow Partial Control
