timestep,year,month,day,hour,Zone Operative Temperature(hall_downstairs),Zone Air Temperature(hall_downstairs),Zone Operative Temperature(front_room),Zone Air Temperature(front_room),Zone Operative Temperature(kitchen),Zone Air Temperature(kitchen),Zone Operative Temperature(backroom),Zone Air Temperature(backroom),Zone Operative Temperature(bedroom_3),Zone Air Temperature(bedroom_3),Zone Operative Temperature(bedroom_1),Zone Air Temperature(bedroom_1),Zone Operative Temperature(hall_upstairs),Zone Air Temperature(hall_upstairs),Zone Operative Temperature(bathroom),Zone Air Temperature(bathroom),Zone Operative Temperature(bedroom_2),Zone Air Temperature(bedroom_2),Zone People Occupant Count(front_room),Zone People Occupant Count(kitchen),Zone People Occupant Count(backroom),Zone People Occupant Count(bedroom_3),Zone People Occupant Count(bedroom_1),Zone People Occupant Count(hall_upstairs),Zone People Occupant Count(bathroom),Zone People Occupant Count(bedroom_2)
40484,2022.0,10.0,9.0,3.0,18.84309,18.472494,18.971296,18.691687,18.700552,18.350279,18.725708,18.371716,19.229336,19.409859,18.799376,18.823103,18.578571,18.19137,17.83886,17.40098,18.895046,19.153868,0.0,0.0,0.0,4.0,4.0,0.0,0.0,4.0
40485,2022.0,10.0,9.0,3.0,18.82199,18.450039,18.949625,18.669024,18.68099,18.329472,18.69741,18.342304,18.820414,18.515505,18.609087,18.392345,18.55428,18.165823,17.816757,17.377283,18.407585,18.063519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40486,2022.0,10.0,9.0,3.0,18.801365,18.428003,18.927908,18.645327,18.661451,18.308449,18.671295,18.314632,18.630882,18.268412,18.515062,18.282314,18.530643,18.141142,17.795713,17.355371,18.205755,17.79962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40487,2022.0,10.0,9.0,3.0,18.78151,18.407032,18.907825,18.624308,18.6428,18.288698,18.647459,18.289852,18.571556,18.207363,18.486044,18.251648,18.507902,18.11742,17.775164,17.333612,18.145206,17.736856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40488,2022.0,10.0,9.0,4.0,18.761204,18.385365,18.888487,18.604721,19.25366,19.453312,18.6241,18.26552,18.521202,18.155983,18.459051,18.224403,18.484617,18.092428,17.753317,17.309202,18.093212,17.682198,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
40489,2022.0,10.0,9.0,4.0,18.741053,18.364487,18.8687,18.58433,18.885017,18.61346,18.601109,18.2419,18.477552,18.112196,18.433432,18.197853,18.462086,18.069073,17.732718,17.287586,18.049427,17.63815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40490,2022.0,10.0,9.0,4.0,18.721615,18.344608,18.848894,18.563442,18.711447,18.358406,18.579088,18.219353,18.439175,18.0744,18.408745,18.171755,18.440987,18.047674,17.714153,17.268932,18.011993,17.601912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40491,2022.0,10.0,9.0,4.0,18.702843,18.325495,18.831154,18.546158,18.665756,18.308048,18.558556,18.198818,18.404797,18.040745,18.387064,18.150316,18.420347,18.026464,17.695276,17.248905,18.727747,18.981369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
40492,2022.0,10.0,9.0,4.0,18.68349,18.305525,18.812395,18.526884,18.630396,18.270632,18.537607,18.177267,18.978077,19.149609,18.36484,18.127344,18.39915,18.004547,17.675966,17.22873,18.245153,17.8929,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
40493,2022.0,10.0,9.0,4.0,18.664715,18.286142,18.794065,18.508083,18.602917,18.242258,18.517628,18.156654,18.593885,18.279896,18.343483,18.105312,19.166765,19.476955,17.656948,17.208927,18.053102,17.643448,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
40494,2022.0,10.0,9.0,5.0,18.646576,18.267307,18.77615,18.489748,18.57864,18.217403,18.498108,18.136625,18.425522,18.061579,18.322865,18.08414,18.661793,18.34003,18.672491,19.138384,17.993061,17.578066,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
40495,2022.0,10.0,9.0,5.0,18.630995,18.253294,18.760084,18.474888,18.55873,18.19889,18.48092,18.12116,18.376282,18.010925,18.304129,18.066217,19.258087,19.565367,18.985579,19.451923,17.950497,17.537992,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0
40496,2022.0,10.0,9.0,5.0,18.61667,18.24103,18.745293,18.461803,18.5419,18.183735,18.465128,18.107592,18.339033,17.97643,18.286846,18.050154,18.736809,18.418089,18.179459,17.814445,17.916668,17.507536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40497,2022.0,10.0,9.0,5.0,18.602741,18.229128,18.730347,18.447956,18.526426,18.169638,18.449667,18.094156,18.307722,17.94788,18.269619,18.033478,18.530613,18.13231,17.918436,17.468054,17.887306,17.482075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40498,2022.0,10.0,9.0,5.0,18.58931,18.217796,19.133877,19.220758,18.512028,18.157106,18.435154,18.081915,18.28026,17.923386,18.55709,18.586632,18.483185,18.085386,17.847017,17.394384,17.860601,17.458334,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
40499,2022.0,10.0,9.0,5.0,18.57588,18.206614,18.90675,18.701813,18.497559,18.144697,18.420853,18.069874,18.254696,17.900875,18.365616,18.1477,18.444792,18.050055,17.795881,17.345934,18.586044,18.850834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
40500,2022.0,10.0,9.0,6.0,18.562653,18.19557,18.779022,18.509117,18.483295,18.132473,18.407173,18.058207,18.838018,19.022535,18.280945,18.048735,18.413969,18.022417,17.757898,17.311646,18.111906,17.772238,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
40501,2022.0,10.0,9.0,6.0,18.549011,18.183243,18.741407,18.465153,19.10194,19.310656,18.393381,18.045534,19.465494,19.995216,18.557371,18.584656,18.385815,17.996592,17.725378,17.282022,17.930712,17.53778,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0
40502,2022.0,10.0,9.0,6.0,19.20284,19.427137,19.110134,19.17858,19.673922,20.128984,18.999388,19.198145,18.790974,18.545946,19.973543,20.809464,18.357819,17.970932,18.779278,19.304321,17.871897,17.47568,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0
40503,2022.0,10.0,9.0,6.0,20.21807,21.006945,20.229984,20.99748,19.63969,19.91393,19.61131,20.086647,18.423395,18.084494,20.223322,21.161518,19.144136,19.487823,19.073313,19.51968,18.62306,18.932806,4.0,4.0,0.0,0.0,4.0,4.0,0.0,4.0
