,year,case,rep,zones_controlled,onoffseed,tempseed,comforttemp,setbacktemp,cost,cumulative_emissions,comfort_violation (%),mean_comfort_violation,std_comfort_violation,building_cost,sensing_cost,control_names,retrofit_name,installation_cost,name
4905,2023,2,0,1,10,42,21,13,659.169123881829,2.2648978636813237,61.39079147640791,2.924360999409105,4.622176290784342,16000.0,60,One Zone Controlled,Fabric - Shallow,16060.0,Fabric - Shallow One Zone Controlled
4906,2022,5,0,9,10,15,21,17,2672.010944013962,1.347104622402647,46.727549467275495,0.0173029012017287,0.0471258476830894,28000.0,520,Full Control,System - ASHP,28520.0,System - ASHP Full Control
4907,2023,14,0,1,10,15,19,15,159.3978431913906,0.1015754582670738,9.058219178082192,0.188039167360535,0.9047843936377142,,60,One Zone Controlled,,,
4908,2022,14,0,4,5,10,20,13,230.95155461217303,0.11267487346887689,17.387747336377473,0.4214634880103926,1.6497776808991735,,240,Partial Control,,,
4909,2023,2,0,0,5,10,21,13,1043.7071427567018,3.646819044564388,0.0228310502283105,7.69700886999999e-05,0.0070206130160908,16000.0,0,Manual Control,Fabric - Shallow,16000.0,Fabric - Shallow Manual Control
4910,2023,4,0,0,15,42,20,17,308.7441755676157,0.644952594871959,30.82572298325723,0.6805450543484746,1.7887250860634356,71000.0,0,Manual Control,Fabric - Passivhaus,71000.0,Fabric - Passivhaus Manual Control
4911,2022,14,0,4,15,42,21,13,145.77368547620657,0.07304916833867099,41.09779299847793,2.0859146073064854,4.205867890382298,,240,Partial Control,,,
4912,2022,14,0,0,5,10,19,17,381.31697527303703,0.18476794168496202,0.821917808219178,0.0085875980926351,0.1424022072252797,,0,Manual Control,,,
4913,2022,3,0,9,10,10,20,17,554.1511128758489,0.7329279404935543,26.881659056316597,0.3911137134562522,1.073637283213825,51000.0,520,Full Control,Fabric - Deep,51520.0,Fabric - Deep Full Control
4914,2022,0,0,1,10,30,18,13,1449.2925656717894,3.0233161950336283,17.207001522070016,0.683604486273536,2.35419442992016,0.0,60,One Zone Controlled,Baseline,60.0,Baseline One Zone Controlled
4915,2022,1,0,9,5,42,19,17,1339.6074070667535,2.7303680168944684,34.296042617960424,0.0007601182707056,0.0038197258430859,3800.0,520,Full Control,Fabric - Low cost,4320.0,Fabric - Low cost Full Control
4916,2023,1,0,4,15,42,20,13,693.6109714278214,2.3728506135915195,52.528538812785385,1.621798444389245,3.865817945674777,3800.0,240,Partial Control,Fabric - Low cost,4040.0,Fabric - Low cost Partial Control
4917,2022,4,0,4,10,10,21,13,493.2252665151056,0.6569422752206338,33.599695585996955,1.5784440224081502,3.839572450139409,71000.0,240,Partial Control,Fabric - Passivhaus,71240.0,Fabric - Passivhaus Partial Control
4918,2023,3,0,0,10,10,21,15,427.84255487784884,1.0621360547577738,19.49391171993912,0.4405899800881356,1.436217034304337,51000.0,0,Manual Control,Fabric - Deep,51000.0,Fabric - Deep Manual Control
4919,2023,5,0,1,10,10,21,17,2269.294119822449,1.4380919245927513,28.03462709284627,1.36007570389504,3.416394783174384,28000.0,60,One Zone Controlled,System - ASHP,28060.0,System - ASHP One Zone Controlled
4920,2022,3,0,0,15,15,21,13,737.851593687583,1.1803435298720595,14.463470319634702,0.4128460735842905,1.8585295200968996,51000.0,0,Manual Control,Fabric - Deep,51000.0,Fabric - Deep Manual Control
4921,2023,14,0,1,5,15,20,15,265.9700026617117,0.16720241073015038,3.2971841704718416,0.039145095220286,0.3230403432852403,,60,One Zone Controlled,,,
4922,2022,1,0,1,15,42,18,15,1303.0433442943013,2.6767745011813213,21.183409436834093,0.8767682171206966,2.4567844220007413,3800.0,60,One Zone Controlled,Fabric - Low cost,3860.0,Fabric - Low cost One Zone Controlled
4923,2022,10,0,1,10,42,21,17,2010.5228287122125,1.0034071226987495,59.49581430745814,2.589062023556484,3.714170146692778,48000.0,60,One Zone Controlled,System - ASHP+PV+Batt,48060.0,System - ASHP+PV+Batt One Zone Controlled
4924,2022,2,0,0,10,15,18,13,1601.8471880091115,3.387101369013759,7.5418569254185694,0.203651679405265,1.1624551110961114,16000.0,0,Manual Control,Fabric - Shallow,16000.0,Fabric - Shallow Manual Control
4925,2022,3,0,0,5,15,20,13,859.1154873913079,1.4203409511976244,0.228310502283105,0.0023106681422498,0.0660809429022419,51000.0,0,Manual Control,Fabric - Deep,51000.0,Fabric - Deep Manual Control
4926,2022,3,0,4,15,30,18,17,565.9680995237845,0.7574824756754969,9.80593607305936,0.0530135882848586,0.3201165978088067,51000.0,240,Partial Control,Fabric - Deep,51240.0,Fabric - Deep Partial Control
4927,2023,0,0,1,15,42,21,13,780.0412865205863,2.676776876734191,62.05289193302892,3.790012920274076,6.309150486113451,0.0,60,One Zone Controlled,Baseline,60.0,Baseline One Zone Controlled
4928,2022,4,0,9,5,30,19,13,403.2991693981593,0.4350264280452381,27.65981735159817,0.9769204894531682,2.676172584269181,71000.0,520,Full Control,Fabric - Passivhaus,71520.0,Fabric - Passivhaus Full Control
4929,2023,10,0,1,10,10,19,15,1520.2295514114658,0.9717837232969756,19.151445966514466,0.7681381597328021,2.357793969859687,48000.0,60,One Zone Controlled,System - ASHP+PV+Batt,48060.0,System - ASHP+PV+Batt One Zone Controlled
4930,2023,14,0,1,5,42,20,15,166.0240385575018,0.10858077217431097,25.201674277016743,0.2846076993548603,0.9470058114880532,,60,One Zone Controlled,,,
4931,2023,1,0,0,15,15,19,13,1082.6809634344295,3.8096871514045847,16.539193302891935,0.7819034689008378,2.6223824760737733,3800.0,0,Manual Control,Fabric - Low cost,3800.0,Fabric - Low cost Manual Control
4932,2022,1,0,9,15,15,21,15,1296.2355690584925,2.6713319493175023,50.68493150684932,0.0990543440962043,0.2703640887032899,3800.0,520,Full Control,Fabric - Low cost,4320.0,Fabric - Low cost Full Control
4933,2023,2,0,4,5,30,18,13,690.9685394758333,2.372173545041808,20.83523592085236,0.013692180627052,0.0594961231397744,16000.0,240,Partial Control,Fabric - Shallow,16240.0,Fabric - Shallow Partial Control
4934,2023,1,0,9,15,30,19,15,678.9518953714866,2.2803428489290622,42.96232876712329,0.0198312950370876,0.0572982421021673,3800.0,520,Full Control,Fabric - Low cost,4320.0,Fabric - Low cost Full Control
4935,2023,0,0,4,10,10,21,13,878.85703393489,3.051901400564499,44.54337899543379,1.3258496622656055,3.469464177864072,0.0,240,Partial Control,Baseline,240.0,Baseline Partial Control
4936,2022,1,0,1,15,15,19,15,1697.8162681326853,3.558486687748383,19.505327245053277,0.8060259872665267,2.560209121621446,3800.0,60,One Zone Controlled,Fabric - Low cost,3860.0,Fabric - Low cost One Zone Controlled
4937,2022,3,0,0,15,42,21,17,578.6050684215695,0.7849355162046918,47.70928462709285,1.9900318350839192,3.174749811831867,51000.0,0,Manual Control,Fabric - Deep,51000.0,Fabric - Deep Manual Control
4938,2022,3,0,4,5,42,19,15,560.7388674379055,0.7482098894284924,12.971841704718418,0.1181626952354127,0.580670756250238,51000.0,240,Partial Control,Fabric - Deep,51240.0,Fabric - Deep Partial Control
4939,2022,3,0,9,15,42,18,15,451.312526084596,0.5088636277175798,18.281963470319635,0.1912673411646254,0.7227306882199372,51000.0,520,Full Control,Fabric - Deep,51520.0,Fabric - Deep Full Control
4940,2022,4,0,4,15,15,20,13,489.2254916575109,0.6559756823950391,24.38736681887367,1.0433666068035652,3.0240479123722235,71000.0,240,Partial Control,Fabric - Passivhaus,71240.0,Fabric - Passivhaus Partial Control
4941,2022,3,0,4,10,30,20,13,559.82312498893,0.7710769024920994,24.560502283105023,0.5567302918714312,1.893723348323504,51000.0,240,Partial Control,Fabric - Deep,51240.0,Fabric - Deep Partial Control
4942,2023,4,0,0,5,15,21,17,463.1415368028821,1.1942755208003915,3.1640030441400304,0.0336459328210661,0.2890229225021608,71000.0,0,Manual Control,Fabric - Passivhaus,71000.0,Fabric - Passivhaus Manual Control
4943,2022,3,0,1,15,30,21,17,613.8615642737523,0.8765849765472444,43.41324200913242,1.0805635389072634,2.362710351897242,51000.0,60,One Zone Controlled,Fabric - Deep,51060.0,Fabric - Deep One Zone Controlled
4944,2023,10,0,4,10,42,21,17,1353.0114825035641,0.8770059903447592,59.644216133942166,1.808797089574566,2.7436030029441323,48000.0,240,Partial Control,System - ASHP+PV+Batt,48240.0,System - ASHP+PV+Batt Partial Control
4945,2023,5,0,0,10,15,18,17,2482.4354457275044,1.5569401622846202,10.648782343987824,0.1572672523580535,0.5836942945484125,28000.0,0,Manual Control,System - ASHP,28000.0,System - ASHP Manual Control
4946,2022,14,0,0,5,42,20,17,290.3186895845236,0.14032838149405552,20.40144596651446,0.1528493857010115,0.6331094551338932,,0,Manual Control,,,
4947,2022,1,0,0,15,30,19,17,1604.4049253909022,3.3255212003065506,20.665905631659054,0.7905360632480726,2.0373587137609115,3800.0,0,Manual Control,Fabric - Low cost,3800.0,Fabric - Low cost Manual Control
4948,2023,0,0,1,5,30,20,13,1086.3403268266022,3.764134505405979,6.071156773211568,0.0078470852933395,0.0506274923040532,0.0,60,One Zone Controlled,Baseline,60.0,Baseline One Zone Controlled
4949,2023,5,0,9,15,10,20,15,1531.6588195325166,0.9837856804861284,46.73325722983257,0.0217314704739663,0.060012500962863,28000.0,520,Full Control,System - ASHP,28520.0,System - ASHP Full Control
4950,2022,5,0,0,15,42,18,13,2169.33106171286,1.125864330792371,18.82990867579909,1.0381302034271809,3.140356462371048,28000.0,0,Manual Control,System - ASHP,28000.0,System - ASHP Manual Control
4951,2023,3,0,9,5,10,21,17,350.4605365871099,0.7901837434219428,33.47222222222222,0.7411034385841658,1.7632704362188083,51000.0,520,Full Control,Fabric - Deep,51520.0,Fabric - Deep Full Control
