timestep,year,month,day,hour,Zone Operative Temperature(hall_downstairs),Zone Air Temperature(hall_downstairs),Zone Operative Temperature(front_room),Zone Air Temperature(front_room),Zone Operative Temperature(kitchen),Zone Air Temperature(kitchen),Zone Operative Temperature(backroom),Zone Air Temperature(backroom),Zone Operative Temperature(bedroom_3),Zone Air Temperature(bedroom_3),Zone Operative Temperature(bedroom_1),Zone Air Temperature(bedroom_1),Zone Operative Temperature(hall_upstairs),Zone Air Temperature(hall_upstairs),Zone Operative Temperature(bathroom),Zone Air Temperature(bathroom),Zone Operative Temperature(bedroom_2),Zone Air Temperature(bedroom_2),Zone People Occupant Count(front_room),Zone People Occupant Count(kitchen),Zone People Occupant Count(backroom),Zone People Occupant Count(bedroom_3),Zone People Occupant Count(bedroom_1),Zone People Occupant Count(hall_upstairs),Zone People Occupant Count(bathroom),Zone People Occupant Count(bedroom_2)
36,2022.0,1.0,1.0,6.0,19.453093,19.278433,19.410145,19.28737,19.709368,19.538363,19.529493,19.360552,19.455927,19.278725,19.57305,19.476162,19.589819,19.395897,19.30345,19.079374,19.578865,19.368643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,2022.0,1.0,1.0,6.0,20.488943,21.082283,20.498474,21.172579,20.752392,21.350664,20.598423,21.217619,20.66893,21.323866,20.801899,21.54724,20.473688,20.908548,20.47354,21.062426,20.67883,21.24629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,2022.0,1.0,1.0,6.0,20.683779,21.320507,20.766745,21.5268,20.829817,21.379782,20.819115,21.495443,20.857183,21.584812,20.889055,21.640823,20.607279,21.090147,20.628517,21.254797,20.8231,21.439867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,2022.0,1.0,1.0,6.0,20.83334,21.484856,20.938337,21.710081,20.91234,21.441896,20.915237,21.56154,21.202408,22.06297,20.962978,21.658886,20.72833,21.221334,20.790657,21.43232,20.967655,21.599634,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
40,2022.0,1.0,1.0,6.0,20.93603,21.587254,20.918716,21.581362,20.974628,21.497404,20.941408,21.536608,20.867884,21.38567,20.927738,21.509668,20.816956,21.308676,20.8189,21.396399,21.067812,21.697176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,2022.0,1.0,1.0,6.0,20.84785,21.364151,20.925417,21.53185,20.837244,21.181736,20.847906,21.300652,20.855927,21.328598,20.932718,21.460577,20.82657,21.26289,20.764158,21.224844,20.791428,21.140703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,2022.0,1.0,1.0,7.0,20.86438,21.358675,20.93665,21.502323,20.866425,21.22175,20.872496,21.319683,20.857431,21.290806,20.943205,21.43108,20.833725,21.228056,20.780138,21.214794,20.80555,21.158772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,2022.0,1.0,1.0,7.0,20.854464,21.311369,20.92182,21.442158,20.866924,21.200993,20.867598,21.284351,20.847723,21.247038,20.929073,21.372984,20.82564,21.1818,20.771748,21.16776,21.043707,21.557264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
44,2022.0,1.0,1.0,7.0,20.860758,21.300592,20.930927,21.43143,20.974836,21.36339,20.870739,21.26994,20.85208,21.232248,20.937675,21.362108,20.827904,21.159725,20.776299,21.151743,21.139061,21.652134,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0
45,2022.0,1.0,1.0,7.0,20.904928,21.336082,20.921034,21.391897,20.856613,21.145329,20.866173,21.246433,20.846462,21.205116,20.913387,21.281115,20.823938,21.133846,20.76955,21.12089,20.789394,21.030771,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
46,2022.0,1.0,1.0,7.0,20.8624,21.263294,20.927656,21.386269,20.861101,21.156,20.867653,21.235615,20.847883,21.192884,20.932793,21.325718,20.824163,21.117825,20.772411,21.110844,20.791803,21.066624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,2022.0,1.0,1.0,7.0,20.856455,21.249302,20.926966,21.368168,20.86299,21.148651,20.866371,21.221928,20.962353,21.368553,20.934107,21.306839,20.822598,21.102287,20.771408,21.095608,20.800423,21.073317,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
48,2022.0,1.0,1.0,8.0,20.850424,21.22928,20.919552,21.343855,20.863436,21.142864,20.863997,21.20977,20.835915,21.138481,20.911388,21.238691,21.051025,21.50425,20.766008,21.07694,21.090174,21.58854,0.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0
49,2022.0,1.0,1.0,8.0,20.85016,21.219488,20.919685,21.333803,20.862318,21.134165,20.863264,21.200417,20.845545,21.157536,20.915335,21.240719,21.133598,21.588556,20.764904,21.066784,20.777945,20.987013,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0
50,2022.0,1.0,1.0,8.0,20.848953,21.208677,20.918953,21.322989,21.02094,21.403456,20.862553,21.191996,20.98793,21.39242,20.92907,21.276243,20.80441,20.996077,20.763939,21.05766,20.801243,21.047096,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0
51,2022.0,1.0,1.0,8.0,20.954678,21.373772,20.918278,21.313368,21.080288,21.462538,20.861938,21.184612,20.828022,21.097193,20.909918,21.216171,20.820562,21.040407,21.116686,21.685371,21.10888,21.60174,0.0,4.0,0.0,0.0,4.0,0.0,4.0,4.0
52,2022.0,1.0,1.0,8.0,20.858883,21.202513,20.935627,21.336054,21.105503,21.486883,20.884932,21.218845,20.868544,21.173172,20.945126,21.290615,20.843729,21.081747,20.755478,20.986883,20.78788,20.986343,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
53,2022.0,1.0,1.0,8.0,20.845825,21.17827,20.914972,21.290598,20.8393,21.027634,20.85824,21.163614,20.837988,21.112524,20.922394,21.23999,21.098986,21.539999,20.762342,21.012905,21.12021,21.606628,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0
54,2022.0,1.0,1.0,9.0,20.870344,21.218012,20.935196,21.32123,20.888803,21.13623,20.884167,21.20598,20.865425,21.15881,20.941559,21.267607,21.187866,21.631886,21.147379,21.712511,20.783463,20.958534,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0
55,2022.0,1.0,1.0,9.0,20.867323,21.204868,20.932264,21.3081,20.879276,21.11717,20.881199,21.19356,20.862175,21.14618,20.938564,21.253582,21.225613,21.669838,20.750874,20.943237,20.825104,21.05154,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
56,2022.0,1.0,1.0,9.0,20.867882,21.199476,20.932646,21.302387,21.059881,21.433002,20.881536,21.188787,20.862803,21.1419,20.93905,21.247623,20.810787,20.93206,20.79294,21.039673,20.819468,21.044376,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
57,2022.0,1.0,1.0,9.0,20.988302,21.394754,20.893919,21.20116,21.131353,21.50831,20.860733,21.143894,20.841278,21.095476,20.92726,21.21844,20.80571,20.951815,20.764963,20.988028,20.796535,21.00155,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
58,2022.0,1.0,1.0,9.0,20.854755,21.155754,20.93982,21.312437,21.156704,21.533392,20.884075,21.18742,20.86528,21.14019,20.940619,21.24093,20.843306,21.027218,21.170547,21.733173,20.822445,21.05314,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0
59,2022.0,1.0,1.0,9.0,21.000076,21.409836,20.897083,21.2112,20.833616,20.973274,20.857922,21.136068,20.837603,21.085943,20.922672,21.203808,21.141293,21.57429,21.318289,21.876883,21.140572,21.623974,4.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0
60,2022.0,1.0,1.0,10.0,20.851088,21.136663,20.921877,21.256866,20.877226,21.083122,20.884964,21.182495,21.026928,21.417368,20.925787,21.189928,21.244476,21.684164,20.743996,20.867733,20.783117,20.940556,4.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0
61,2022.0,1.0,1.0,10.0,20.871574,21.177965,20.935856,21.297003,20.881811,21.092772,20.882578,21.172672,21.104315,21.501373,20.94239,21.235214,20.810333,20.905474,20.798273,20.999077,20.827543,21.037897,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
62,2022.0,1.0,1.0,10.0,21.020834,21.431454,20.933125,21.284363,21.087643,21.459063,20.88378,21.170824,21.136433,21.535448,20.939617,21.22478,21.172527,21.605375,20.79157,20.996742,21.169294,21.66025,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0
63,2022.0,1.0,1.0,10.0,20.85261,21.1203,20.933935,21.278458,21.171547,21.550268,21.023918,21.406872,20.839188,21.021708,20.940338,21.220848,21.295292,21.737694,21.221256,21.785412,20.786324,20.922722,0.0,4.0,4.0,0.0,0.0,4.0,4.0,0.0
64,2022.0,1.0,1.0,10.0,20.874796,21.16725,20.917276,21.223911,21.20475,21.585812,21.080433,21.468025,20.87115,21.097572,20.940975,21.21675,21.337822,21.78317,20.752146,20.876207,20.8314,21.026054,4.0,4.0,4.0,0.0,0.0,4.0,0.0,0.0
65,2022.0,1.0,1.0,10.0,21.041683,21.456232,20.921587,21.23105,21.230179,21.612114,20.865524,21.100544,21.086237,21.4826,20.941381,21.212236,20.808622,20.839985,21.241404,21.809938,20.826897,21.02158,4.0,4.0,0.0,4.0,0.0,0.0,4.0,0.0
66,2022.0,1.0,1.0,11.0,20.85349,21.105286,20.921562,21.230429,21.25275,21.635477,20.88972,21.156216,20.842184,21.0215,20.92651,21.163914,20.854156,20.957865,21.416801,21.983896,21.191582,21.687122,4.0,4.0,0.0,0.0,4.0,0.0,4.0,4.0
67,2022.0,1.0,1.0,11.0,20.879066,21.160616,20.92271,21.231377,21.275553,21.660707,21.05214,21.439405,21.096472,21.495867,20.946032,21.21553,21.228064,21.668085,21.481339,22.053448,21.331982,21.832077,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0
68,2022.0,1.0,1.0,11.0,20.898024,21.192928,20.936789,21.254581,21.298416,21.686193,21.120481,21.51612,21.19702,21.606546,20.939655,21.181713,20.83431,20.89998,20.769186,20.800737,21.390608,21.895065,4.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0
69,2022.0,1.0,1.0,11.0,21.074663,21.4975,20.936234,21.249506,21.32039,21.71073,21.150524,21.550207,21.236986,21.650818,20.958122,21.22912,21.239763,21.680866,21.331034,21.911043,20.806822,20.866713,4.0,4.0,4.0,4.0,0.0,4.0,4.0,0.0
70,2022.0,1.0,1.0,11.0,21.151583,21.584194,20.901567,21.178888,21.342361,21.73543,21.174488,21.576883,21.270262,21.686573,20.935997,21.178608,21.389582,21.850636,21.530117,22.11128,20.788158,20.881693,4.0,4.0,4.0,4.0,0.0,4.0,4.0,0.0
71,2022.0,1.0,1.0,11.0,20.87533,21.10396,20.94327,21.259956,21.363739,21.759531,21.195936,21.60108,20.858637,20.969978,20.959814,21.221373,21.439468,21.904242,20.78335,20.796227,20.872345,21.050058,4.0,4.0,4.0,0.0,0.0,4.0,0.0,0.0
72,2022.0,1.0,1.0,12.0,20.907867,21.178589,20.95601,21.294794,20.87475,20.917557,21.217588,21.625515,20.90594,21.086195,20.95749,21.20965,20.848097,20.847696,20.853956,20.97594,20.866446,21.041924,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
73,2022.0,1.0,1.0,12.0,20.905195,21.175465,20.936562,21.2327,21.238102,21.637836,20.882748,21.050447,20.901134,21.087149,20.958265,21.205227,21.330145,21.807976,20.844461,20.981598,20.86929,21.048777,4.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0
74,2022.0,1.0,1.0,12.0,20.907124,21.178692,20.958248,21.286547,20.87262,20.937716,21.12757,21.522564,20.903114,21.09596,20.952496,21.169687,20.847992,20.856894,20.847494,20.999609,21.274763,21.791323,0.0,0.0,4.0,0.0,4.0,0.0,0.0,4.0
75,2022.0,1.0,1.0,12.0,20.908525,21.179976,20.939861,21.228355,21.231758,21.638456,21.22892,21.640753,20.904505,21.101032,20.962183,21.206497,21.334183,21.818525,20.849491,21.010498,20.822273,20.910187,4.0,4.0,4.0,0.0,0.0,4.0,0.0,0.0
76,2022.0,1.0,1.0,12.0,21.127821,21.570097,20.959845,21.279867,21.353117,21.760439,21.260233,21.67549,20.90595,21.104378,20.959854,21.197449,20.852453,20.86473,20.851572,21.018538,20.881063,21.043362,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0
77,2022.0,1.0,1.0,12.0,21.216978,21.665966,20.953972,21.240614,21.38466,21.794693,20.882421,21.02191,21.183125,21.6045,20.967854,21.18882,21.324244,21.794067,20.853655,21.024286,20.87616,21.040174,4.0,4.0,0.0,4.0,4.0,4.0,0.0,0.0
