,episode_num,cost,gas_cost,electricity_cost,cumulative_reward,mean_reward,cumulative_emissions,mean_emissions,cumulative_comfort_penalty,mean_comfort_penalty,cumulative_emissions_penalty,mean_emissions_penalty,cumulative_air_quality_penalty,mean_air_quality_penalty,comfort_violation (%),mean_comfort_violation,std_comfort_violation,cumulative_comfort_violation,mean_air_quality_violation,std_air_quality_violation,cumulative_air_quality_violation,length(timesteps),time_elapsed(seconds),year,case,rep,zones_controlled,onoffseed,tempseed,filename,Unnamed: 0
447,0,89161.47712320148,89161.47712320148,0.0,-440260.7896400468,-8.376346834856294,3055.33294577312,0.0581303832909649,-65179.696609447856,-1.2401007726302864,-91659.98837319358,-1.7439114987289497,-302138.0885961079,-5.74844156385289,31.95395738203957,1.2401007726302864,2.957880692461412,30213808.859610792,574.844156385289,640.6978867421333,65179.696609447856,52560,31536000,2023,0,0,4,15,42,Eplus-env-06-27_thermostat_rbc_eco_year_2023_case_0_rep_0_zone_4_onoffseed_15_tempseed_42_paper2_final_runs_v1-res2_progress.csv,
455,0,176333.0793405838,176333.0793405838,0.0,-471621.83661879005,-8.973018200509705,3701.60978631976,0.0704263657975601,-33669.1745295465,-0.6405855123581906,-111048.2935895928,-2.112790973926804,-293694.569880712,-5.587796230607153,20.279680365296805,0.6405855123581906,2.0275586027154637,29369456.9880712,558.7796230607153,624.336353312212,33669.1745295465,52560,31536000,2022,0,0,4,15,15,Eplus-env-06-27_thermostat_rbc_eco_year_2022_case_0_rep_0_zone_4_onoffseed_15_tempseed_15_paper2_final_runs_v1-res2_progress.csv,
460,0,156668.29051340988,156668.29051340988,0.0,-513780.28589049913,-9.775119594568096,3267.6038811853846,0.0621690236146382,-92333.12106991044,-1.7567184374031668,-98028.11643556152,-1.865070708439146,-293276.83635156805,-5.579848484618875,30.8751902587519,1.7567184374031668,4.163632663333254,29327683.635156803,557.9848484618874,641.5507276902183,92333.12106991044,52560,31536000,2022,0,0,0,15,42,Eplus-env-06-27_thermostat_rbc_eco_year_2022_case_0_rep_0_zone_0_onoffseed_15_tempseed_42_paper2_final_runs_v1-res3_progress.csv,
461,0,131542.98682410253,131542.98682410253,0.0,-417232.6325920755,-7.938215992999915,4633.696253308773,0.0881601265850223,-36723.21403802508,-0.6986912868726233,-139010.88759926317,-2.644803797550669,-272894.10103325214,-5.192049106416517,16.562024353120243,0.6986912868726233,2.3367520947254534,27289410.10332521,519.2049106416517,603.4805009997491,36723.21403802508,52560,31536000,2023,0,0,0,15,15,Eplus-env-06-27_thermostat_rbc_eco_year_2023_case_0_rep_0_zone_0_onoffseed_15_tempseed_15_paper2_final_runs_v1-res3_progress.csv,
462,0,187700.1451594912,187700.1451594912,0.0,-429946.89041143184,-8.18011587540776,3927.782477640657,0.0747294991940764,-188.9808791067319,-0.00359552661923,-117833.4743292197,-2.2418849758222925,-276200.4207773453,-5.254954733206722,10.150304414003044,0.00359552661923,0.021952410180066,27620042.077734526,525.4954733206721,625.5775283231607,188.9808791067319,52560,31536000,2022,0,0,0,5,42,Eplus-env-06-27_thermostat_rbc_eco_year_2022_case_0_rep_0_zone_0_onoffseed_5_tempseed_42_paper2_final_runs_v1-res3_progress.csv,
465,0,86464.38924055232,86464.38924055232,0.0,-370322.0397949705,-7.045700909341143,2961.180426702392,0.0563390492142768,-1952.170947932172,-0.0371417608054066,-88835.41280107175,-1.6901714764283058,-297633.35200934246,-5.662735007788099,12.3382800608828,0.0371417608054066,0.2189081993906933,29763335.20093425,566.2735007788099,629.8419070257769,1952.170947932172,52560,31536000,2023,0,0,9,15,30,Eplus-env-06-27_thermostat_rbc_eco_year_2023_case_0_rep_0_zone_9_onoffseed_15_tempseed_30_paper2_final_runs_v1-res2_progress.csv,
475,0,142432.41786699308,142432.41786699308,0.0,-420157.4084609814,-7.993862413641199,2951.908865402867,0.0561626496461732,-2279.399576536085,-0.0433675718519042,-88557.265962086,-1.684879489385198,-301354.04782745824,-5.733524502044487,11.23097412480974,0.0433675718519042,0.2600165670250774,30135404.78274582,573.3524502044486,637.4217647594879,2279.399576536085,52560,31536000,2022,0,0,9,5,15,Eplus-env-06-27_thermostat_rbc_eco_year_2022_case_0_rep_0_zone_9_onoffseed_5_tempseed_15_paper2_final_runs_v1-res1_progress.csv,
491,0,107680.61488063632,107680.61488063632,0.0,-378160.6462348833,-7.194837257132483,3722.399051113976,0.0708218997548321,-483.5819163216272,-0.0092005691842014,-111671.9715334193,-2.124656992644964,-289583.553284713,-5.509580541946595,4.899162861491629,0.0092005691842014,0.0798763530481663,28958355.328471303,550.9580541946594,621.986683352765,483.5819163216272,52560,31536000,2023,0,0,4,5,30,Eplus-env-06-27_thermostat_rbc_eco_year_2023_case_0_rep_0_zone_4_onoffseed_5_tempseed_30_paper2_final_runs_v1-res2_progress.csv,
501,0,90756.90937174266,90756.90937174266,0.0,-425631.1509528532,-8.098005155115167,3109.91673346728,0.0591688876230456,-51135.83503047394,-0.9729040150394586,-93297.5020040184,-1.77506662869137,-300247.0883653566,-5.712463629477866,28.563546423135467,0.9729040150394586,2.561398091710694,30024708.83653566,571.2463629477865,634.0406011468423,51135.83503047394,52560,31536000,2023,0,0,4,10,42,Eplus-env-06-27_thermostat_rbc_eco_year_2023_case_0_rep_0_zone_4_onoffseed_10_tempseed_42_paper2_final_runs_v1-res1_progress.csv,
504,0,180795.90325123305,180795.90325123305,0.0,-466000.8660584186,-8.86607431617996,3794.485316524868,0.0721934040434716,-27937.298849511342,-0.5315315610637622,-113834.55949574604,-2.1658021213041483,-290154.4387590735,-5.520442137729709,18.327625570776256,0.5315315610637622,1.7783216621253946,29015443.87590736,552.044213772971,613.5092758658251,27937.298849511342,52560,31536000,2022,0,0,4,10,15,Eplus-env-06-27_thermostat_rbc_eco_year_2022_case_0_rep_0_zone_4_onoffseed_10_tempseed_15_paper2_final_runs_v1-res1_progress.csv,
