,sensors,room,equipment,comments,relevant
324,sensor.switch_master_bedroom_4_button_t_battery.json,,,,
325,sensor.switch_master_bedroom_action.json,,,,
326,sensor.switch_master_bedroom_battery.json,,,,
327,sensor.switch_master_bedside_r_action.json,,,,
328,sensor.switch_master_bedside_r_battery.json,,,,
329,sensor.switch_master_bedside_t_action.json,,,,
330,sensor.switch_master_bedside_t_battery.json,,,,
331,sensor.switch_stairwell_entrance_2_button_action.json,,,,
332,sensor.switch_stairwell_entrance_2_button_battery.json,,,,
333,sensor.t8020p11222530d6_current_mode.json,,,,
334,sensor.tb300fu_battery_level.json,,,,
335,sensor.tb300fu_battery_state.json,,,,
336,sensor.tb300fu_charger_type.json,,,,
337,sensor.temp_master_bedroom_battery.json,,,,
338,sensor.temp_master_bedroom_humidity.json,,,,
339,sensor.temp_master_bedroom_temperature.json,,,,
340,sensor.temperature.json,,,,
341,sensor.temperature_2.json,,,,
342,sensor.temperature_3.json,,,,
343,sensor.trv_downstairs_loo_error_status.json,,,,
344,sensor.trv_downstairs_loo_schedule_friday.json,,,,
345,sensor.trv_downstairs_loo_schedule_monday.json,,,,
346,sensor.trv_downstairs_loo_schedule_saturday.json,,,,
347,sensor.trv_downstairs_loo_schedule_sunday.json,,,,
348,sensor.trv_downstairs_loo_schedule_thursday.json,,,,
349,sensor.trv_downstairs_loo_schedule_tuesday.json,,,,
350,sensor.trv_downstairs_loo_schedule_wednesday.json,,,,
351,sensor.trv_entrance_error_status.json,,,,
352,sensor.trv_entrance_schedule_friday.json,,,,
353,sensor.trv_entrance_schedule_monday.json,,,,
354,sensor.trv_entrance_schedule_saturday.json,,,,
355,sensor.trv_entrance_schedule_sunday.json,,,,
356,sensor.trv_entrance_schedule_thursday.json,,,,
357,sensor.trv_entrance_schedule_tuesday.json,,,,
358,sensor.trv_entrance_schedule_wednesday.json,,,,
359,sensor.trv_master_onsuite_error_status.json,,,,
360,sensor.trv_master_onsuite_schedule_friday.json,,,,
361,sensor.trv_master_onsuite_schedule_monday.json,,,,
362,sensor.trv_master_onsuite_schedule_saturday.json,,,,
363,sensor.trv_master_onsuite_schedule_sunday.json,,,,
364,sensor.trv_master_onsuite_schedule_thursday.json,,,,
365,sensor.trv_master_onsuite_schedule_tuesday.json,,,,
366,sensor.trv_master_onsuite_schedule_wednesday.json,,,,
367,sensor.trv_study_error_status.json,,,,
368,sensor.tvcluster_lounge_wifi_signal.json,,,,
369,sensor.water_detector_voltage.json,,,,
370,sensor.wyze_cam_camera1_audio.json,,,,
371,sensor.wyze_cam_camera1_signal.json,,,,
372,sensor.wyze_cam_catcam_res.json,,,,
373,sensor.zigbee2mqtt_bridge_permit_join_timeout.json,,,,
374,sensor.zigbee2mqtt_bridge_version.json,,,,
375,sensor.zone_0_all_count.json,,,,
376,sensor.zone_0_car_count.json,,,,
377,sensor.zone_0_person_count.json,,,,
378,sensor.zone_1_all_count.json,,,,
379,sensor.zone_1_car_count.json,,,,
380,sensor.zone_1_person_count.json,,,,
381,sensors.txt,,,,
